m_insp[Msun],mass_aEMS[Msun],M_loss[Msun],m_ins-M_loss
340.0,104.17888519588628,17.690321466193378,322.3096785338066
345.0,104.17888519588628,17.643868031575163,327.35613196842485
350.0,104.17888519588628,17.614834634938784,332.3851653650612
355.0,104.17888519588628,17.579994558975155,337.42000544102484
360.0,104.17888519588628,17.527734445029676,342.4722655549703
365.0,104.17888519588628,17.492894369066,347.507105630934
370.0,104.17888519588628,17.458054293102364,352.54194570689765
375.0,104.17888519588628,17.42321421713869,357.5767857828613
380.0,104.17888519588628,17.365147423865945,362.63485257613405
385.0,104.17888519588628,17.347727385884138,367.6522726141159
390.0,104.17888519588628,17.31288730992047,372.6871126900795
395.0,104.17888519588628,17.278047233956837,377.72195276604316
400.0,104.17888519588628,17.2374004786659,382.7625995213341
405.0,104.17888519588628,17.208309727478206,387.7916902725218
410.0,104.17888519588628,17.18209363867848,392.81790636132155
415.0,104.17888519588628,17.155877549878767,397.84412245012123
420.0,104.17888519588628,17.120922764812473,402.87907723518754
425.0,104.17888519588628,17.085967979746187,407.9140320202538
430.0,104.17888519588628,17.05101319467991,412.9489868053201
435.0,104.17888519588628,17.016058409613617,417.9839415903864
440.0,104.17888519588628,16.998581017080465,423.0014189829195
445.0,104.17888519588628,16.97236492828074,428.02763507171926
450.0,104.17888519588628,16.92867144694787,433.0713285530521
455.0,104.17888519588628,16.911194054414732,438.08880594558525
460.0,104.17888519588628,16.876239269348442,443.12376073065155
465.0,104.17888519588628,16.858761876815294,448.14123812318473
470.0,104.17888519588628,16.81943774361571,453.1805622563843
475.0,104.17888519588628,16.79331082308546,458.20668917691455
480.0,104.17888519588628,16.773782508889873,463.2262174911101
485.0,104.17888519588628,16.72821644243353,468.2717835575665
490.0,104.17888519588628,16.71519756630316,473.2848024336968
495.0,104.17888519588628,16.68915981404241,478.3108401859576
500.0,104.17888519588628,16.663122061781635,483.3368779382184
0.7,107.7814547351895,0.0,0.7
0.7999999999999999,107.7814547351895,0.0,0.7999999999999999
0.8999999999999999,107.7814547351895,0.0,0.8999999999999999
1.0,107.7814547351895,0.0,1.0
1.1,107.7814547351895,0.0,1.1
1.1999999999999995,107.7814547351895,0.0,1.1999999999999995
1.2999999999999998,107.7814547351895,14.083963712296901,-12.783963712296902
1.4,107.7814547351895,14.551082313962933,-13.151082313962933
1.4999999999999998,107.7814547351895,14.778937475191155,-13.278937475191155
1.5999999999999996,107.7814547351895,14.966873026791122,-13.366873026791122
1.6999999999999995,107.7814547351895,15.16586361083823,-13.46586361083823
1.7999999999999996,107.7814547351895,15.320634065097009,-13.52063406509701
